Date_Ext,negative,neutral,positive,pos_ori_per,neg_ori_per,neu_ori_per
7/1/2018,143,337,51,9.6045197740113,26.930320150659135,63.465160075329564
7/2/2018,154,456,85,12.23021582733813,22.158273381294965,65.61151079136691
7/3/2018,168,459,150,19.305019305019304,21.62162162162162,59.07335907335907
7/4/2018,122,429,97,14.969135802469136,18.82716049382716,66.20370370370371
7/5/2018,118,316,75,14.734774066797643,23.18271119842829,62.082514734774065
7/6/2018,118,357,84,15.026833631484795,21.10912343470483,63.864042933810374
7/7/2018,104,345,82,15.44256120527307,19.58568738229755,64.97175141242938
7/8/2018,141,430,88,13.353566009104703,21.396054628224583,65.25037936267071
