Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
2018/10/15,270,295,525,48.1651376146789,24.770642201834864,27.06422018348624
2018/10/16,199,239,576,56.80473372781065,19.62524654832347,23.570019723865876
2018/10/17,447,328,519,40.108191653786704,34.54404945904173,25.347758887171562
2018/10/18,264,247,505,49.70472440944882,25.984251968503937,24.311023622047244
2018/10/19,250,280,526,49.81060606060606,23.674242424242426,26.515151515151516
2018/10/20,241,264,548,52.04178537511871,22.88698955365622,25.071225071225072
