Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
2018/09/23,102,815,211,18.70567375886525,9.042553191489361,72.2517730496454
2018/09/24,80,680,150,16.483516483516482,8.791208791208792,74.72527472527473
2018/09/25,124,885,232,18.694601128122482,9.991941982272362,71.31345688960516
2018/09/26,92,1017,242,17.912657290895634,6.809770540340488,75.27757216876388
2018/09/27,82,705,223,22.07920792079208,8.118811881188119,69.8019801980198
2018/09/28,111,701,222,21.47001934235977,10.735009671179885,67.79497098646034
2018/09/29,89,720,207,20.374015748031496,8.759842519685039,70.86614173228347
