Date_Ext,negative,neutral,positive,pos_ori_per,neg_ori_per,neu_ori_per
7/1/2018,31,40,12,14.457831325301205,37.34939759036145,48.19277108433735
7/2/2018,17,49,15,18.51851851851852,20.987654320987655,60.49382716049383
7/3/2018,36,73,16,12.8,28.8,58.4
7/4/2018,15,60,15,16.666666666666668,16.666666666666668,66.66666666666667
7/5/2018,9,52,12,16.438356164383563,12.32876712328767,71.23287671232876
7/6/2018,8,28,13,26.53061224489796,16.3265306122449,57.142857142857146
7/7/2018,23,25,18,27.272727272727273,34.84848484848485,37.878787878787875
7/8/2018,14,15,6,17.142857142857142,40.0,42.857142857142854
