Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
6/17/2018,171,492,122,15.54140127388535,21.78343949044586,62.67515923566879
6/18/2018,149,397,98,15.217391304347826,23.13664596273292,61.64596273291925
6/19/2018,213,498,116,14.026602176541717,25.755743651753324,60.21765417170496
6/20/2018,183,428,110,15.256588072122053,25.381414701803052,59.3619972260749
6/21/2018,178,382,113,16.790490341753344,26.448736998514114,56.76077265973254
6/22/2018,186,433,156,20.129032258064516,24.0,55.87096774193548
6/23/2018,146,368,137,21.044546850998465,22.427035330261138,56.5284178187404
6/24/2018,143,301,101,18.53211009174312,26.238532110091743,55.22935779816514
6/25/2018,140,350,109,18.196994991652755,23.37228714524207,58.43071786310517
