Date_Ext,negative,neutral,positive,pos_ori_per,neg_ori_per,neu_ori_per
10/21/2018,9,34,19,30.64516129032258,14.516129032258064,54.83870967741935
10/22/2018,14,45,19,24.358974358974358,17.94871794871795,57.69230769230769
10/23/2018,27,59,10,10.416666666666666,28.125,61.458333333333336
10/24/2018,23,41,14,17.94871794871795,29.487179487179485,52.56410256410256
10/25/2018,32,71,27,20.76923076923077,24.615384615384617,54.61538461538461
10/26/2018,15,74,16,15.238095238095237,14.285714285714286,70.47619047619048
10/27/2018,26,41,11,14.102564102564102,33.333333333333336,52.56410256410256
