Date_Ext,negative,neutral,positive,pos_ori_per,neg_ori_per,neu_ori_per
6/17/2018,176,497,112,14.26751592356688,22.420382165605094,63.31210191082803
6/18/2018,127,416,101,15.683229813664596,19.720496894409937,64.59627329192547
6/19/2018,170,570,87,10.519951632406288,20.556227327690447,68.92382103990326
6/20/2018,122,518,81,11.234396671289876,16.920943134535367,71.84466019417475
6/21/2018,175,408,90,13.37295690936107,26.00297176820208,60.62407132243685
6/22/2018,134,491,150,19.35483870967742,17.29032258064516,63.354838709677416
6/23/2018,151,413,87,13.36405529953917,23.195084485407065,63.44086021505376
6/24/2018,131,329,85,15.596330275229358,24.03669724770642,60.36697247706422
6/25/2018,137,383,79,13.18864774624374,22.871452420701168,63.939899833055094
