Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
2019/01/21,136,181,286,47.42951907131012,22.553897180762853,30.016583747927033
2019/01/22,105,111,299,58.05825242718446,20.388349514563107,21.553398058252426
2019/01/23,155,199,298,45.70552147239264,23.773006134969325,30.521472392638035
2019/01/24,201,166,373,50.4054054054054,27.16216216216216,22.43243243243243
2019/01/25,147,164,298,48.93267651888342,24.137931034482758,26.929392446633827
2019/01/26,123,119,356,59.531772575250834,20.568561872909697,19.899665551839465
