Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
4/29/2018,14,38,9,14.754098360655737,22.950819672131146,62.295081967213115
4/30/2018,13,32,6,11.764705882352942,25.49019607843137,62.745098039215684
5/1/2018,60,235,26,8.09968847352025,18.69158878504673,73.20872274143302
5/2/2018,43,247,34,10.493827160493828,13.271604938271604,76.23456790123457
5/3/2018,21,99,19,13.66906474820144,15.107913669064748,71.22302158273381
5/4/2018,24,73,9,8.49056603773585,22.641509433962263,68.86792452830188
5/5/2018,17,51,7,9.333333333333334,22.666666666666668,68.0
5/6/2018,17,59,6,7.317073170731708,20.73170731707317,71.95121951219512
