Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
7/1/2018,38,38,7,8.433734939759036,45.78313253012048,45.78313253012048
7/2/2018,22,47,12,14.814814814814815,27.160493827160494,58.02469135802469
7/3/2018,24,90,11,8.8,19.2,72.0
7/4/2018,25,54,11,12.222222222222221,27.77777777777778,60.0
7/5/2018,12,43,18,24.65753424657534,16.438356164383563,58.9041095890411
7/6/2018,12,29,8,16.3265306122449,24.489795918367346,59.183673469387756
7/7/2018,18,41,7,10.606060606060606,27.272727272727273,62.121212121212125
7/8/2018,10,20,5,14.285714285714286,28.571428571428573,57.142857142857146
