Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
2018/09/23,265,652,211,18.70567375886525,23.49290780141844,57.801418439716315
2018/09/24,231,529,150,16.483516483516482,25.384615384615383,58.13186813186813
2018/09/25,296,713,232,18.694601128122482,23.851732473811442,57.453666398066076
2018/09/26,293,817,241,17.838638045891933,21.68763878608438,60.47372316802369
2018/09/27,254,533,223,22.07920792079208,25.14851485148515,52.772277227722775
2018/09/28,248,564,222,21.47001934235977,23.984526112185687,54.54545454545455
2018/09/29,257,552,207,20.374015748031496,25.29527559055118,54.330708661417326
