Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
9/1/2018,17,45,11,15.068493150684931,23.28767123287671,61.64383561643836
9/2/2018,22,40,8,11.428571428571429,31.428571428571427,57.142857142857146
9/3/2018,14,41,8,12.698412698412698,22.22222222222222,65.07936507936508
9/4/2018,129,86,42,16.342412451361866,50.19455252918288,33.463035019455255
9/5/2018,55,120,22,11.16751269035533,27.918781725888326,60.91370558375635
9/6/2018,36,105,46,24.59893048128342,19.25133689839572,56.149732620320854
9/7/2018,56,169,29,11.417322834645669,22.04724409448819,66.53543307086615
9/8/2018,20,65,14,14.141414141414142,20.2020202020202,65.65656565656566
