Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
2/10/2019,10,51,11,15.277777777777779,13.88888888888889,70.83333333333333
2/11/2019,21,79,21,17.355371900826448,17.355371900826448,65.2892561983471
2/12/2019,17,67,22,20.754716981132077,16.037735849056602,63.20754716981132
2/13/2019,11,54,12,15.584415584415584,14.285714285714286,70.12987012987013
2/4/2019,25,55,16,16.666666666666668,26.041666666666668,57.291666666666664
2/5/2019,11,55,17,20.481927710843372,13.25301204819277,66.26506024096386
2/6/2019,21,65,11,11.34020618556701,21.649484536082475,67.01030927835052
2/7/2019,28,134,33,16.923076923076923,14.35897435897436,68.71794871794872
2/8/2019,18,85,34,24.817518248175183,13.138686131386862,62.043795620437955
2/9/2019,14,70,22,20.754716981132077,13.20754716981132,66.0377358490566
