Date_Ext,negative,neutral,positive,pos_ori_per,neg_ori_per,neu_ori_per
2019/03/16,180,511,114,14.161490683229813,22.36024844720497,63.47826086956522
2019/03/17,157,428,142,19.53232462173315,21.595598349381017,58.87207702888583
2019/03/18,136,363,119,19.25566343042071,22.006472491909385,58.737864077669904
2019/03/19,347,648,209,17.358803986710964,28.82059800664452,53.820598006644516
2019/03/20,238,540,137,14.972677595628415,26.010928961748633,59.01639344262295
2019/03/21,137,440,120,17.21664275466284,19.655667144906744,63.127690100430414
2019/03/22,148,360,108,17.532467532467532,24.025974025974026,58.44155844155844
2019/03/23,153,350,149,22.85276073619632,23.466257668711656,53.68098159509202
2019/03/24,171,422,159,21.143617021276597,22.73936170212766,56.11702127659574
