Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
4/29/2018,177,394,103,15.281899109792285,26.26112759643917,58.45697329376855
4/30/2018,178,350,134,20.241691842900302,26.88821752265861,52.87009063444109
5/1/2018,203,622,119,12.60593220338983,21.50423728813559,65.88983050847457
5/2/2018,171,505,138,16.953316953316953,21.007371007371006,62.03931203931204
5/3/2018,118,345,100,17.761989342806395,20.959147424511546,61.27886323268206
5/4/2018,144,389,143,21.153846153846153,21.301775147928993,57.544378698224854
5/5/2018,139,373,116,18.471337579617835,22.133757961783438,59.394904458598724
5/6/2018,149,428,136,19.074333800841515,20.897615708274895,60.028050490883594
