Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
2018/10/08,207,470,200,22.80501710376283,23.603192702394526,53.59179019384265
2018/10/09,201,506,166,19.014891179839633,23.02405498281787,57.9610538373425
2018/10/10,201,452,184,21.983273596176822,24.014336917562723,54.002389486260455
2018/10/11,280,578,174,16.86046511627907,27.131782945736433,56.007751937984494
2018/10/12,209,553,227,22.95247724974722,21.132457027300305,55.91506572295248
2018/10/13,321,579,227,20.141969831410826,28.482697426796804,51.37533274179237
2018/10/14,333,781,265,19.216823785351703,24.147933284989122,56.63524292965917
2018/10/15,273,594,229,20.894160583941606,24.90875912408759,54.197080291970806
