Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
7/28/2018,15,55,10,12.5,18.75,68.75
7/29/2018,12,38,4,7.407407407407407,22.22222222222222,70.37037037037037
7/30/2018,6,30,11,23.404255319148938,12.76595744680851,63.829787234042556
7/31/2018,26,60,31,26.495726495726494,22.22222222222222,51.282051282051285
8/1/2018,26,53,10,11.235955056179776,29.213483146067414,59.550561797752806
8/2/2018,15,39,7,11.475409836065573,24.59016393442623,63.9344262295082
8/3/2018,30,47,6,7.228915662650603,36.144578313253014,56.626506024096386
8/4/2018,12,40,11,17.46031746031746,19.047619047619047,63.492063492063494
