Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
2018/12/01,186,251,462,51.39043381535039,20.689655172413794,27.91991101223582
2018/12/02,188,247,450,50.847457627118644,21.242937853107346,27.90960451977401
2018/12/03,307,218,317,37.648456057007124,36.46080760095012,25.890736342042754
2018/12/04,218,270,496,50.40650406504065,22.15447154471545,27.4390243902439
2018/12/05,164,257,376,47.17691342534504,20.577164366373903,32.24592220828105
2018/12/06,169,265,386,47.073170731707314,20.609756097560975,32.31707317073171
2018/12/07,113,204,315,49.84177215189873,17.879746835443036,32.278481012658226
2018/12/08,188,205,407,50.875,23.5,25.625
2018/12/09,180,226,413,50.427350427350426,21.978021978021978,27.594627594627596
2018/12/10,131,189,336,51.21951219512195,19.96951219512195,28.8109756097561
2018/12/11,172,199,328,46.9241773962804,24.606580829756794,28.469241773962803
2018/12/12,194,254,354,44.13965087281795,24.189526184538654,31.67082294264339
